date,close,open,high,low,volume,•Ï‰»—¦ %
2024/5/29,"38,365.00","38,895.00","39,157.50","38,362.50",,-1.34%
2024/5/28,"38,885.00","38,905.00","38,995.00","38,757.50",14.20K,-0.06%
2024/5/27,"38,907.50","38,775.00","38,997.50","38,667.50",22.54K,0.80%
2024/5/24,"38,600.00","39,095.00","39,190.00","38,365.00",35.62K,0.44%
2024/5/23,"38,430.00","38,922.50","39,192.50","38,417.50",31.14K,-1.20%
2024/5/22,"38,895.00","38,860.00","38,907.50","38,462.50",27.60K,0.01%
2024/5/21,"38,892.50","39,305.00","39,365.00","38,772.50",,-1.09%
2024/5/20,"39,320.00","38,752.50","39,452.50","38,700.00",,1.47%
2024/5/19,"38,750.00","38,722.50","38,837.50","38,717.50",,0.10%
2024/5/17,"38,710.00","38,625.00","38,852.50","38,537.50",,-0.45%
2024/5/16,"38,885.00","38,405.00","38,970.00","38,275.00",34.83K,0.34%
2024/5/15,"38,755.00","38,615.00","38,832.50","38,275.00",,0.31%
2024/5/14,"38,635.00","38,262.50","38,682.50","38,082.50",,1.32%
2024/5/13,"38,130.00","38,250.00","38,440.00","37,965.00",24.67K,-0.23%
2024/5/10,"38,217.50","38,480.00","38,755.00","38,112.50",,-0.59%
2024/5/9,"38,445.00","38,277.50","38,487.50","37,977.50",,0.45%
2024/5/8,"38,272.50","38,715.00","38,765.00","38,157.50",,-1.08%
2024/5/7,"38,690.00","38,920.00","38,920.00","38,547.50",,-0.57%
2024/5/6,"38,910.00","38,492.50","38,945.00","38,470.00",,1.10%
2024/5/5,"38,485.00","38,385.00","38,507.50","38,367.50",,0.35%
2024/5/3,"38,352.50","37,937.50","38,382.50","37,805.00",,1.09%
2024/5/2,"37,940.00","38,037.50","38,362.50","37,740.00",,-0.35%
2024/5/1,"38,075.00","38,100.00","38,497.50","37,755.00",,0.01%
2024/4/30,"38,072.50","38,370.00","38,625.00","38,035.00",,-0.85%
2024/4/29,"38,400.00","38,420.00","38,735.00","38,182.50",,-0.04%
2024/4/28,"38,415.00","38,410.00","38,430.00","38,302.50",,0.14%
2024/4/26,"38,360.00","37,820.00","38,405.00","37,570.00",,1.44%
2024/4/25,"37,815.00","37,920.00","38,042.50","37,127.50",,-0.24%
2024/4/24,"37,905.00","38,015.00","38,465.00","37,885.00",,-0.36%
2024/4/23,"38,042.50","37,825.00","38,070.00","37,422.50",,0.65%
2024/4/22,"37,795.00","37,217.50","37,852.50","37,075.00",,1.48%
2024/4/21,"37,245.00","37,202.50","37,305.00","37,172.50",,0.36%
2024/4/19,"37,110.00","37,640.00","37,642.50","36,715.00",,-1.45%
2024/4/18,"37,657.50","37,780.00","38,242.50","37,652.50",,-0.28%
2024/4/17,"37,765.00","38,645.00","38,645.00","37,632.50",,-2.27%
2024/4/16,"38,642.50","38,695.00","38,705.00","38,302.50",,-0.12%
2024/4/15,"38,690.00","39,047.50","39,507.50","38,632.50",,-0.85%
2024/4/14,"39,020.00","38,995.00","39,242.50","38,947.50",,0.37%
2024/4/12,"38,875.00","39,740.00","39,805.00","38,797.50",,-1.28%
