date,close,open,high,low,volume,•Ï‰»—¦ %
2024/5/26,"38,352.50","38,817.50","39,157.50","38,342.50",14.20K,-0.64%
2024/5/19,"38,600.00","38,735.00","39,455.00","38,365.00",154.33K,-0.37%
2024/5/12,"38,745.00","38,250.00","38,975.00","37,965.00",141.46K,1.31%
2024/5/5,"38,245.00","38,520.00","38,825.00","37,980.00",32.02K,1.12%
2024/4/28,"37,820.00","38,395.00","38,555.00","37,970.00",0.01K,-0.18%
2024/4/21,"37,890.00","37,195.00","37,195.00","36,360.00",0.00K,2.12%
2024/4/14,"37,105.00","39,000.00","39,000.00","38,980.00",0.00K,-6.15%
2024/4/7,"39,535.00","39,480.00","39,780.00","39,310.00",0.12K,1.48%
2024/3/31,"38,960.00","40,565.00","40,600.00","38,800.00",0.04K,-3.90%
2024/3/24,"40,540.00","40,305.00","40,490.00","40,190.00",0.05K,-0.37%
2024/3/17,"40,690.00","38,480.00","40,545.00","38,415.00",0.06K,6.05%
2024/3/10,"38,370.00","39,115.00","39,115.00","38,125.00",0.22K,-2.86%
2024/3/3,"39,500.00","39,955.00","40,570.00","39,515.00",187.29K,-1.25%
2024/2/25,"40,000.00","39,450.00","40,020.00","38,880.00",162.17K,1.37%
2024/2/18,"39,460.00","38,585.00","39,530.00","38,075.00",151.49K,2.32%
2024/2/11,"38,565.00","36,955.00","38,855.00","36,915.00",176.35K,4.57%
2024/2/4,"36,880.00","36,200.00","37,270.00","35,915.00",41.01K,2.05%
2024/1/28,"36,140.00","35,800.00","36,240.00","35,800.00",0.01K,1.22%
2024/1/21,"35,705.00","36,465.00","36,505.00","36,025.00",0.20K,-0.87%
2024/1/14,"36,020.00","35,935.00","36,085.00","35,935.00",0.02K,1.07%
2024/1/7,"35,640.00","33,910.00","35,675.00","33,910.00",0.08K,6.88%
2023/12/31,"33,345.00","33,040.00","33,040.00","33,040.00",0.00K,-0.27%
2023/12/24,"33,435.00","33,245.00","33,550.00","33,145.00",0.04K,1.07%
2023/12/17,"33,080.00","33,525.00","33,525.00","33,185.00",0.02K,0.52%
2023/12/10,"32,910.00","32,795.00","33,165.00","32,450.00",0.07K,2.14%
2023/12/3,"32,220.00","33,420.00","33,490.00","32,305.00",192.27K,-3.58%
2023/11/26,"33,415.00","33,625.00","33,815.00","33,155.00",157.32K,-0.55%
2023/11/19,"33,600.00","33,595.00","33,860.00","33,105.00",138.36K,0.03%
2023/11/12,"33,590.00","32,595.00","33,620.00","32,425.00",192.96K,3.12%
2023/11/5,"32,575.00","32,670.00","32,875.00","32,245.00",36.16K,0.62%
2023/10/29,"32,375.00","30,630.00","31,530.00","30,630.00",0.01K,4.35%
2023/10/22,"31,025.00","31,055.00","31,055.00","31,035.00",0.00K,-0.64%
2023/10/15,"31,225.00","31,945.00","31,945.00","31,475.00",0.01K,-3.21%
2023/10/8,"32,260.00","31,720.00","32,705.00","31,720.00",0.03K,3.96%
2023/10/1,"31,030.00","30,880.00","30,880.00","30,880.00",0.05K,-3.08%
2023/9/24,"32,015.00","32,240.00","32,490.00","31,715.00",0.01K,-0.74%
2023/9/17,"32,255.00","33,060.00","33,060.00","32,240.00",0.01K,-3.11%
2023/9/10,"33,290.00","33,290.00","33,290.00","33,290.00",0.00K,2.67%
2023/9/3,"32,425.00","32,655.00","33,330.00","32,610.00",151.81K,-0.70%
2023/8/27,"32,655.00","31,570.00","32,845.00","31,560.00",169.13K,3.39%
2023/8/20,"31,585.00","31,440.00","32,290.00","31,265.00",160.59K,0.43%
2023/8/13,"31,450.00","32,630.00","32,660.00","31,230.00",179.58K,-3.56%
2023/8/6,"32,610.00","32,080.00","32,810.00","32,010.00",56.02K,1.35%
2023/7/30,"32,175.00","33,380.00","33,385.00","31,955.00",0.02K,-1.91%
2023/7/23,"32,800.00","32,750.00","32,895.00","32,470.00",0.02K,1.56%
2023/7/16,"32,295.00","32,420.00","32,950.00","32,420.00",0.00K,-0.19%
2023/7/9,"32,355.00","32,355.00","32,595.00","31,845.00",0.13K,-0.32%
2023/7/2,"32,460.00","33,280.00","34,205.00","32,380.00",0.11K,-2.24%
2023/6/25,"33,205.00","32,595.00","33,455.00","32,495.00",0.07K,1.56%
2023/6/18,"32,695.00","33,820.00","33,820.00","32,665.00",0.02K,-2.87%
2023/6/11,"33,660.00","33,460.00","33,695.00","31,945.00",0.13K,4.50%
2023/6/4,"32,210.00","31,605.00","33,470.00","31,410.00",267.35K,1.98%
2023/5/28,"31,585.00","30,980.00","31,665.00","30,640.00",247.03K,2.04%
2023/5/21,"30,955.00","30,900.00","31,360.00","30,405.00",264.58K,0.16%
2023/5/14,"30,905.00","29,420.00","30,955.00","29,400.00",218.58K,5.07%
2023/5/7,"29,415.00","29,075.00","29,435.00","28,960.00",47.11K,2.17%
2023/4/30,"28,790.00","29,090.00","29,090.00","29,090.00",0.00K,-0.29%
2023/4/23,"28,875.00","28,430.00","28,430.00","28,430.00",0.03K,1.07%
2023/4/16,"28,570.00","27,910.00","28,110.00","27,910.00",0.02K,0.49%
2023/4/9,"28,430.00","28,475.00","28,475.00","28,475.00",0.01K,3.27%
2023/4/2,"27,530.00","26,920.00","26,920.00","26,920.00",0.00K,-1.99%
2023/3/26,"28,090.00","27,100.00","27,250.00","27,100.00",0.00K,3.39%
2023/3/19,"27,170.00","27,120.00","27,250.00","27,000.00",0.01K,0.48%
2023/3/12,"27,040.00","27,840.00","27,925.00","26,885.00",0.64K,-2.93%
2023/3/5,"27,855.00","27,905.00","28,730.00","27,860.00",194.63K,-0.14%
2023/2/26,"27,895.00","27,400.00","27,970.00","27,270.00",180.28K,1.88%
2023/2/19,"27,380.00","27,455.00","27,525.00","26,940.00",155.64K,-0.26%
2023/2/12,"27,450.00","27,640.00","27,770.00","27,235.00",209.69K,-0.67%
2023/2/5,"27,635.00","27,515.00","27,790.00","27,485.00",53.37K,0.44%
2023/1/29,"27,515.00","27,450.00","27,450.00","27,165.00",0.01K,0.47%
2023/1/22,"27,385.00","27,325.00","27,340.00","27,280.00",0.00K,3.16%
2023/1/15,"26,545.00","26,070.00","27,005.00","25,675.00",250.47K,1.67%
2023/1/8,"26,110.00","25,915.00","26,475.00","25,910.00",0.14K,0.58%
2023/1/1,"25,960.00","26,035.00","26,035.00","25,645.00",0.07K,-0.23%
2022/12/25,"26,020.00","26,265.00","26,730.00","25,940.00",0.16K,-0.61%
2022/12/18,"26,180.00","27,255.00","27,300.00","26,160.00",0.23K,-4.78%
2022/12/11,"27,495.00","27,805.00","28,220.00","27,785.00",0.05K,-1.35%
2022/12/4,"27,870.00","27,765.00","27,945.00","27,415.00",180.25K,0.40%
2022/11/27,"27,760.00","28,335.00","28,510.00","27,660.00",240.43K,-2.01%
2022/11/20,"28,330.00","27,870.00","28,505.00","27,840.00",160.47K,1.58%
2022/11/13,"27,890.00","28,255.00","28,300.00","27,730.00",221.50K,-1.26%
2022/11/6,"28,245.00","27,375.00","28,330.00","27,365.00",80.86K,3.90%
2022/10/30,"27,185.00","27,300.00","27,625.00","27,105.00",0.04K,0.63%
2022/10/23,"27,015.00","27,570.00","27,570.00","27,010.00",0.01K,0.41%
2022/10/16,"26,905.00","27,345.00","27,345.00","26,900.00",0.00K,-0.57%
2022/10/9,"27,060.00","27,130.00","27,130.00","26,200.00",0.04K,-0.18%
2022/10/2,"27,110.00","26,535.00","27,395.00","26,535.00",0.04K,4.23%
2022/9/25,"26,010.00","26,395.00","26,425.00","26,345.00",0.05K,-2.73%
2022/9/18,"26,740.00","27,265.00","27,265.00","26,710.00",0.03K,-2.28%
2022/9/11,"27,365.00","28,365.00","28,390.00","27,560.00",0.05K,-2.27%
2022/9/4,"28,000.00","27,700.00","28,085.00","27,260.00",216.55K,1.17%
2022/8/28,"27,675.00","28,645.00","28,750.00","27,550.00",272.86K,-3.37%
2022/8/21,"28,640.00","28,885.00","28,925.00","28,250.00",189.33K,-0.99%
2022/8/14,"28,925.00","28,515.00","29,225.00","28,505.00",214.79K,1.42%
2022/8/7,"28,520.00","27,750.00","28,560.00","27,750.00",78.51K,1.19%
2022/7/31,"28,185.00","28,175.00","28,175.00","28,170.00",0.00K,1.51%
2022/7/24,"27,765.00","27,670.00","27,810.00","27,190.00",1.55K,-0.56%
2022/7/17,"27,920.00","27,755.00","27,755.00","27,755.00",0.00K,4.28%
2022/7/10,"26,775.00","26,885.00","27,020.00","26,885.00",0.00K,0.53%
2022/7/3,"26,635.00","26,130.00","26,600.00","26,130.00",0.01K,3.00%
2022/6/26,"25,860.00","26,190.00","26,990.00","25,590.00",1.81K,-2.43%
2022/6/19,"26,505.00","26,230.00","26,400.00","26,050.00",0.09K,2.75%
2022/6/12,"25,795.00","27,105.00","27,105.00","25,645.00",0.22K,-7.43%
2022/6/5,"27,865.00","27,800.00","28,395.00","27,510.00",248.68K,0.25%
2022/5/29,"27,795.00","26,840.00","27,800.00","26,830.00",217.43K,3.64%
2022/5/22,"26,820.00","26,705.00","27,145.00","26,365.00",235.62K,0.37%
2022/5/15,"26,720.00","26,350.00","27,055.00","26,075.00",266.12K,1.44%
2022/5/8,"26,340.00","26,930.00","26,930.00","25,535.00",92.79K,-2.82%
2022/5/1,"27,105.00","27,000.00","27,185.00","27,000.00",0.00K,-0.95%
2022/4/24,"27,365.00","27,070.00","27,195.00","26,135.00",0.35K,0.98%
2022/4/17,"27,100.00","27,245.00","27,670.00","27,130.00",0.01K,0.02%
2022/4/10,"27,095.00","27,170.00","27,170.00","24,300.00",0.03K,0.20%
2022/4/3,"27,040.00","27,755.00","27,755.00","27,660.00",0.05K,-2.28%
2022/3/27,"27,670.00","27,940.00","27,940.00","27,740.00",0.01K,-0.86%
2022/3/20,"27,910.00","27,055.00","27,940.00","27,055.00",0.01K,4.39%
