date,close,open,high,low,volume,•Ï‰»—¦ %
2024/5/26,13.82,12.36,14.24,12.36,,11.81%
2024/5/19,12.36,12.27,13.37,11.52,,3.09%
2024/5/12,11.99,13.26,14.03,11.91,,-4.46%
2024/5/5,12.55,13.98,14.02,12.5,,-6.97%
2024/4/28,13.49,15.37,16.22,13.48,,-10.25%
2024/4/21,15.03,18.59,18.72,14.92,,-19.67%
2024/4/14,18.71,16.94,21.36,16.26,,8.09%
2024/4/7,17.31,16.24,19.2,14.59,,7.99%
2024/3/31,16.03,13.61,16.92,13.55,,23.21%
2024/3/24,13.01,13.67,13.67,12.66,,-0.38%
2024/3/17,13.06,14.75,14.86,12.4,,-9.37%
2024/3/10,14.41,15.51,16.04,13.42,,-2.24%
2024/3/3,14.74,13.49,15.53,13.32,,12.43%
2024/2/25,13.11,14.17,14.2,13.08,,-4.65%
2024/2/18,13.75,14.72,16.12,13.64,,-3.44%
2024/2/11,14.24,13.48,17.94,13.34,,10.13%
2024/2/4,12.93,14.37,14.53,12.69,,-6.64%
2024/1/28,13.85,13.98,15.35,13.18,,4.45%
2024/1/21,13.26,13.77,14.1,12.41,,-0.30%
2024/1/14,13.3,13.23,15.4,13.2,,4.72%
2024/1/7,12.7,14,14.18,12.35,,-4.87%
2023/12/31,13.35,13.22,14.58,13.1,,7.23%
2023/12/24,12.45,13.77,13.8,12.36,,-4.45%
2023/12/17,13.03,12.62,14.49,12.29,,6.11%
2023/12/10,12.28,13.05,13.14,11.81,,-0.57%
2023/12/3,12.35,13.28,13.76,12.35,,-2.22%
2023/11/26,12.63,13.14,14.3,12.48,,1.36%
2023/11/19,12.46,14.26,14.31,12.45,,-9.71%
2023/11/12,13.8,15.16,15.19,13.67,,-2.61%
2023/11/5,14.17,15.39,15.58,14.13,,-4.96%
2023/10/29,14.91,21.13,21.16,14.91,,-29.90%
2023/10/22,21.27,21.83,23.08,18.65,,-2.03%
2023/10/15,21.71,19.1,21.83,16.97,,12.37%
2023/10/8,19.32,19.54,20.78,15.44,,10.72%
2023/10/1,17.45,17.31,20.88,16.93,,-0.40%
2023/9/24,17.52,17.25,19.71,15.83,,1.86%
2023/9/17,17.2,14.4,17.54,13.57,,24.73%
2023/9/10,13.79,14.17,14.68,12.68,,-0.36%
2023/9/3,13.84,13.62,15.69,13.51,,5.73%
2023/8/27,13.09,16.24,16.28,13.02,,-16.52%
2023/8/20,15.68,18.03,18.11,15.45,,-9.36%
2023/8/13,17.3,15.88,18.88,14.77,,16.58%
2023/8/6,14.84,16.9,18.14,14.6,,-13.22%
